miRNA,Target_Gene,Is_DEG,DEG_Expression_Direction,Predicted_Regulatory_Relationship,Database,Evidence_Type,miRNA_log2FC,miRNA_Direction,miRNA_pvalue,Target_log2FC,Target_Direction,Target_padj,Relationship_Category
hsa-miR-6859-5p,MYLIP,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,1.477,Up-regulated,0.010639163,-0.6,Down-regulated,0.045067713,Consistent_Inhibition
hsa-miR-6859-5p,CGB8,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,1.477,Up-regulated,0.010639163,-2.101,Down-regulated,0.00704024,Consistent_Inhibition
hsa-miR-6859-5p,SNCA,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,1.477,Up-regulated,0.010639163,1.012,Up-regulated,0.049644775,Inconsistent_Both_Up
hsa-miR-6859-5p,LHX8,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,1.477,Up-regulated,0.010639163,29.911,Up-regulated,2.79e-10,Inconsistent_Both_Up
hsa-miR-6859-5p,ANKRD62,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,1.477,Up-regulated,0.010639163,-30.0,Down-regulated,2.79e-10,Consistent_Inhibition
hsa-miR-6859-5p,HYAL2,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,1.477,Up-regulated,0.010639163,0.784,Up-regulated,0.019227908,Inconsistent_Both_Up
hsa-miR-6859-5p,NLRP4,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,1.477,Up-regulated,0.010639163,19.863,Up-regulated,0.000250002,Inconsistent_Both_Up
hsa-miR-1-3p,TAB3,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,0.589,Up-regulated,0.012920135,-0.635,Down-regulated,0.049102047,Consistent_Inhibition
hsa-miR-1-3p,ZBTB8A,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,0.589,Up-regulated,0.012920135,0.686,Up-regulated,0.030104933,Inconsistent_Both_Up
hsa-miR-3940-5p,ZBTB16,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,1.28,Up-regulated,0.017810079,Consistent_Derepression
hsa-miR-3940-5p,LHX3,Yes,Down-regulated,Inconsistent pattern ↓↓,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,-20.128,Down-regulated,0.000250002,Inconsistent_Both_Down
hsa-miR-3940-5p,RABGAP1L,Yes,Down-regulated,Inconsistent pattern ↓↓,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,-0.665,Down-regulated,0.022027507,Inconsistent_Both_Down
hsa-miR-3940-5p,NTRK2,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,1.822,Up-regulated,0.018697048,Consistent_Derepression
hsa-miR-3940-5p,INPP5F,Yes,Down-regulated,Inconsistent pattern ↓↓,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,-0.529,Down-regulated,0.037251845,Inconsistent_Both_Down
hsa-miR-3940-5p,PIMREG,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,1.325,Up-regulated,0.044282799,Consistent_Derepression
hsa-miR-3940-5p,SOCS6,Yes,Down-regulated,Inconsistent pattern ↓↓,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,-0.478,Down-regulated,0.048990101,Inconsistent_Both_Down
hsa-miR-3940-5p,PYDC1,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,16.432,Up-regulated,0.009335575,Consistent_Derepression
hsa-miR-3940-5p,SMOX,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,1.131,Up-regulated,0.000990711,Consistent_Derepression
hsa-miR-3940-5p,A1CF,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,18.84,Up-regulated,0.000776162,Consistent_Derepression
hsa-miR-3940-5p,SNCA,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,1.012,Up-regulated,0.049644775,Consistent_Derepression
hsa-miR-3940-5p,DMTN,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,1.044,Up-regulated,0.025052034,Consistent_Derepression
hsa-miR-3940-5p,ANKRD1,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,1.417,Up-regulated,0.0100804,Consistent_Derepression
hsa-miR-3940-5p,ARRDC2,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,0.805,Up-regulated,0.046134188,Consistent_Derepression
hsa-miR-3940-5p,LUZP4,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,19.883,Up-regulated,0.000250002,Consistent_Derepression
hsa-miR-3940-5p,ECM1,Yes,Down-regulated,Inconsistent pattern ↓↓,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,-1.087,Down-regulated,0.045067713,Inconsistent_Both_Down
hsa-miR-3940-5p,CEP85,Yes,Down-regulated,Inconsistent pattern ↓↓,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,-0.978,Down-regulated,0.037838615,Inconsistent_Both_Down
hsa-miR-3940-5p,KCNK10,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,19.728,Up-regulated,0.000288762,Consistent_Derepression
hsa-miR-3940-5p,GREM2,Yes,Down-regulated,Inconsistent pattern ↓↓,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,-1.109,Down-regulated,0.04241884,Inconsistent_Both_Down
hsa-miR-3940-5p,RUNDC3A,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,1.09,Up-regulated,0.019277937,Consistent_Derepression
hsa-miR-3940-5p,RAI14,Yes,Down-regulated,Inconsistent pattern ↓↓,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,-0.765,Down-regulated,0.030000808,Inconsistent_Both_Down
hsa-miR-3940-5p,FKBP5,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,1.114,Up-regulated,0.035206414,Consistent_Derepression
hsa-miR-3940-5p,GNE,Yes,Down-regulated,Inconsistent pattern ↓↓,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,-0.865,Down-regulated,0.018439981,Inconsistent_Both_Down
hsa-miR-3940-5p,SCML2,Yes,Down-regulated,Inconsistent pattern ↓↓,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,-0.791,Down-regulated,0.011497774,Inconsistent_Both_Down
hsa-miR-3940-5p,NNMT,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,0.804,Up-regulated,0.000391705,Consistent_Derepression
hsa-miR-3940-5p,TFPI,Yes,Down-regulated,Inconsistent pattern ↓↓,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,-1.132,Down-regulated,0.002559679,Inconsistent_Both_Down
hsa-miR-3940-5p,HYAL2,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,0.784,Up-regulated,0.019227908,Consistent_Derepression
hsa-miR-3940-5p,CCN4,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,1.135,Up-regulated,0.003365874,Consistent_Derepression
hsa-miR-3940-5p,CCDC9B,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,0.779,Up-regulated,0.042408159,Consistent_Derepression
hsa-miR-3940-5p,ARID5A,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,0.503,Up-regulated,0.031164211,Consistent_Derepression
hsa-miR-3940-5p,FAM167A,Yes,Down-regulated,Inconsistent pattern ↓↓,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,-1.405,Down-regulated,0.006705888,Inconsistent_Both_Down
hsa-miR-3940-5p,BAAT,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,30.0,Up-regulated,2.79e-10,Consistent_Derepression
hsa-miR-3940-5p,GUCA2A,Yes,Down-regulated,Inconsistent pattern ↓↓,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,-1.331,Down-regulated,0.004340065,Inconsistent_Both_Down
hsa-miR-3940-5p,KCNE4,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,0.752,Up-regulated,0.04414703,Consistent_Derepression
hsa-miR-3940-5p,CLDN4,Yes,Down-regulated,Inconsistent pattern ↓↓,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,-0.807,Down-regulated,0.04951724,Inconsistent_Both_Down
hsa-miR-3940-5p,IL2RA,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,0.927,Up-regulated,0.041520614,Consistent_Derepression
hsa-miR-3940-5p,SERPINA1,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,1.042,Up-regulated,0.045545931,Consistent_Derepression
hsa-miR-3940-5p,HBA1,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,1.305,Up-regulated,0.031251751,Consistent_Derepression
hsa-miR-3940-5p,CYP19A1,Yes,Down-regulated,Inconsistent pattern ↓↓,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,-1.344,Down-regulated,0.017938909,Inconsistent_Both_Down
hsa-miR-3940-5p,TAB3,Yes,Down-regulated,Inconsistent pattern ↓↓,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,-0.635,Down-regulated,0.049102047,Inconsistent_Both_Down
hsa-miR-3940-5p,TREML2,Yes,Down-regulated,Inconsistent pattern ↓↓,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,-1.865,Down-regulated,0.042149404,Inconsistent_Both_Down
hsa-miR-3940-5p,F11,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,25.598,Up-regulated,2.64e-07,Consistent_Derepression
hsa-miR-3940-5p,IFI27,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,0.763,Up-regulated,0.020108749,Consistent_Derepression
hsa-miR-3940-5p,CCDC171,Yes,Down-regulated,Inconsistent pattern ↓↓,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,-0.642,Down-regulated,0.045545931,Inconsistent_Both_Down
hsa-miR-3940-5p,VSIG10L2,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,24.311,Up-regulated,1.65e-06,Consistent_Derepression
hsa-miR-3940-5p,PDLIM3,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,0.612,Up-regulated,0.008786585,Consistent_Derepression
hsa-miR-3940-5p,KCNIP1,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,2.249,Up-regulated,0.011133387,Consistent_Derepression
hsa-miR-3940-5p,COPZ2,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,0.702,Up-regulated,0.027678609,Consistent_Derepression
hsa-miR-3940-5p,SIX4,Yes,Down-regulated,Inconsistent pattern ↓↓,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,-0.764,Down-regulated,0.009851754,Inconsistent_Both_Down
hsa-miR-3940-5p,SLC38A1,Yes,Down-regulated,Inconsistent pattern ↓↓,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,-0.883,Down-regulated,0.048990101,Inconsistent_Both_Down
hsa-miR-3940-5p,HES6,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,0.861,Up-regulated,0.024695349,Consistent_Derepression
hsa-miR-3940-5p,MICA,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,0.756,Up-regulated,0.035018768,Consistent_Derepression
hsa-miR-3940-5p,AGPAT5,Yes,Down-regulated,Inconsistent pattern ↓↓,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,-0.918,Down-regulated,0.002170178,Inconsistent_Both_Down
hsa-miR-3940-5p,FXYD7,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,3.323,Up-regulated,0.020763904,Consistent_Derepression
hsa-miR-3940-5p,SHISA9,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,20.753,Up-regulated,0.000137665,Consistent_Derepression
hsa-miR-3940-5p,BNIPL,Yes,Down-regulated,Inconsistent pattern ↓↓,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,-1.263,Down-regulated,0.009412156,Inconsistent_Both_Down
hsa-miR-3940-5p,PRSS23,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,0.817,Up-regulated,0.020328259,Consistent_Derepression
hsa-miR-3940-5p,LMOD1,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,0.921,Up-regulated,0.01197074,Consistent_Derepression
hsa-miR-3940-5p,SLC28A2,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,1.397,Up-regulated,0.015617351,Consistent_Derepression
hsa-miR-3940-5p,TSC22D3,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,0.897,Up-regulated,0.022027507,Consistent_Derepression
hsa-miR-3940-5p,C8A,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,19.831,Up-regulated,0.000250002,Consistent_Derepression
hsa-miR-3940-5p,JDP2,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,0.713,Up-regulated,0.02935565,Consistent_Derepression
hsa-miR-3940-5p,ATOH8,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,1.103,Up-regulated,0.022027507,Consistent_Derepression
hsa-miR-3940-5p,ANKS4B,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,6.205,Up-regulated,0.049102047,Consistent_Derepression
hsa-miR-3940-5p,ZBTB8A,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,0.686,Up-regulated,0.030104933,Consistent_Derepression
hsa-miR-3940-5p,LEP,Yes,Down-regulated,Inconsistent pattern ↓↓,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,-2.571,Down-regulated,0.012766614,Inconsistent_Both_Down
hsa-miR-3940-5p,SERPINA7,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,29.937,Up-regulated,2.79e-10,Consistent_Derepression
hsa-miR-3940-5p,MAT1A,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,2.175,Up-regulated,0.012766614,Consistent_Derepression
hsa-miR-3940-5p,ORM1,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,4.305,Up-regulated,0.000250002,Consistent_Derepression
hsa-miR-3940-5p,ORM2,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,4.355,Up-regulated,0.006366681,Consistent_Derepression
hsa-miR-3940-5p,AVPR1B,Yes,Down-regulated,Inconsistent pattern ↓↓,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,-16.522,Down-regulated,0.008699258,Inconsistent_Both_Down
hsa-miR-3940-5p,CYP2C19,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,20.924,Up-regulated,0.000118001,Consistent_Derepression
hsa-miR-3940-5p,PLA2G5,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,0.728,Up-regulated,0.022249828,Consistent_Derepression
hsa-miR-3940-5p,ACER2,Yes,Down-regulated,Inconsistent pattern ↓↓,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,-1.039,Down-regulated,0.021623149,Inconsistent_Both_Down
hsa-miR-3940-5p,HIGD2B,Yes,Down-regulated,Inconsistent pattern ↓↓,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,-22.523,Down-regulated,1.63e-05,Inconsistent_Both_Down
hsa-miR-3940-5p,FBLL1,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,2.113,Up-regulated,0.019227908,Consistent_Derepression
hsa-miR-3940-5p,APOA1,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,2.096,Up-regulated,0.032823762,Consistent_Derepression
hsa-miR-3940-5p,IL32,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,0.782,Up-regulated,0.022249828,Consistent_Derepression
hsa-miR-3940-5p,TPBG,Yes,Down-regulated,Inconsistent pattern ↓↓,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,-0.849,Down-regulated,0.033227815,Inconsistent_Both_Down
hsa-miR-3940-5p,CGB7,Yes,Down-regulated,Inconsistent pattern ↓↓,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,-1.776,Down-regulated,0.016675677,Inconsistent_Both_Down
hsa-miR-3940-5p,ZNF507,Yes,Down-regulated,Inconsistent pattern ↓↓,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,-0.543,Down-regulated,0.037422409,Inconsistent_Both_Down
hsa-miR-3940-5p,ACTG2,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,0.908,Up-regulated,0.049972096,Consistent_Derepression
hsa-miR-3940-5p,KIAA0319,Yes,Down-regulated,Inconsistent pattern ↓↓,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,-1.521,Down-regulated,0.015789562,Inconsistent_Both_Down
hsa-miR-3940-5p,TENT5D,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,19.863,Up-regulated,0.000250002,Consistent_Derepression
hsa-miR-3940-5p,F3,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,0.763,Up-regulated,0.011462858,Consistent_Derepression
hsa-miR-3940-5p,GEM,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,0.554,Up-regulated,0.041995061,Consistent_Derepression
hsa-miR-3940-5p,PARP3,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,0.758,Up-regulated,0.010494703,Consistent_Derepression
hsa-miR-3940-5p,MYLIP,Yes,Down-regulated,Inconsistent pattern ↓↓,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,-0.6,Down-regulated,0.045067713,Inconsistent_Both_Down
hsa-miR-3940-5p,CCN2,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,0.95,Up-regulated,0.004894708,Consistent_Derepression
hsa-miR-3940-5p,OASL,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,1.201,Up-regulated,0.0126152,Consistent_Derepression
hsa-miR-3940-5p,OSMR,Yes,Down-regulated,Inconsistent pattern ↓↓,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,-1.055,Down-regulated,0.017335091,Inconsistent_Both_Down
hsa-miR-3940-5p,SMIM3,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,0.869,Up-regulated,0.001790641,Consistent_Derepression
hsa-miR-3940-5p,LHX8,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,29.911,Up-regulated,2.79e-10,Consistent_Derepression
hsa-miR-3940-5p,DEFB123,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,21.323,Up-regulated,7.67e-05,Consistent_Derepression
hsa-miR-3940-5p,TTBK2,Yes,Down-regulated,Inconsistent pattern ↓↓,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,-0.85,Down-regulated,0.022233693,Inconsistent_Both_Down
hsa-miR-3940-5p,C1orf56,Yes,Down-regulated,Inconsistent pattern ↓↓,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,-0.759,Down-regulated,0.014721034,Inconsistent_Both_Down
hsa-miR-3940-5p,MGST1,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,1.204,Up-regulated,0.049062508,Consistent_Derepression
hsa-miR-3940-5p,INS,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,25.643,Up-regulated,2.56e-07,Consistent_Derepression
hsa-miR-3940-5p,SERPINI1,Yes,Down-regulated,Inconsistent pattern ↓↓,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,-1.438,Down-regulated,0.014745149,Inconsistent_Both_Down
hsa-miR-3940-5p,IL12B,Yes,Down-regulated,Inconsistent pattern ↓↓,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,-1.699,Down-regulated,0.032387046,Inconsistent_Both_Down
hsa-miR-3940-5p,SLC6A2,Yes,Down-regulated,Inconsistent pattern ↓↓,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,-1.535,Down-regulated,0.037251845,Inconsistent_Both_Down
hsa-miR-3940-5p,CMC4,Yes,Down-regulated,Inconsistent pattern ↓↓,miRWalk,Predicted,-1.495,Down-regulated,0.014044858,-16.522,Down-regulated,0.008699258,Inconsistent_Both_Down
hsa-miR-301b-3p,NTRK2,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-0.737,Down-regulated,0.01645843,1.822,Up-regulated,0.018697048,Consistent_Derepression
hsa-miR-301b-3p,TAB3,Yes,Down-regulated,Inconsistent pattern ↓↓,miRWalk,Predicted,-0.737,Down-regulated,0.01645843,-0.635,Down-regulated,0.049102047,Inconsistent_Both_Down
hsa-miR-301b-3p,TTBK2,Yes,Down-regulated,Inconsistent pattern ↓↓,miRWalk,Predicted,-0.737,Down-regulated,0.01645843,-0.85,Down-regulated,0.022233693,Inconsistent_Both_Down
hsa-miR-301b-3p,TSPAN5,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-0.737,Down-regulated,0.01645843,0.828,Up-regulated,0.008072093,Consistent_Derepression
hsa-miR-301b-3p,RABGAP1L,Yes,Down-regulated,Inconsistent pattern ↓↓,miRWalk,Predicted,-0.737,Down-regulated,0.01645843,-0.665,Down-regulated,0.022027507,Inconsistent_Both_Down
hsa-miR-301b-3p,LHX8,Yes,Up-regulated,Expression derepression ↓↑,miRWalk,Predicted,-0.737,Down-regulated,0.01645843,29.911,Up-regulated,2.79e-10,Consistent_Derepression
hsa-miR-450a-1-3p,NTRK2,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,0.839,Up-regulated,0.016733648,1.822,Up-regulated,0.018697048,Inconsistent_Both_Up
hsa-miR-450a-1-3p,LIMCH1,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,0.839,Up-regulated,0.016733648,-1.057,Down-regulated,0.034785373,Consistent_Inhibition
hsa-miR-450a-1-3p,CYP19A1,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,0.839,Up-regulated,0.016733648,-1.344,Down-regulated,0.017938909,Consistent_Inhibition
hsa-miR-450a-1-3p,TMEM119,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,0.839,Up-regulated,0.016733648,0.876,Up-regulated,0.031588773,Inconsistent_Both_Up
hsa-miR-450a-1-3p,AFF1,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,0.839,Up-regulated,0.016733648,-1.025,Down-regulated,0.027523925,Consistent_Inhibition
hsa-miR-450a-1-3p,TFPI,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,0.839,Up-regulated,0.016733648,-1.132,Down-regulated,0.002559679,Consistent_Inhibition
hsa-miR-450a-1-3p,STK39,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,0.839,Up-regulated,0.016733648,0.664,Up-regulated,0.041575164,Inconsistent_Both_Up
hsa-miR-450a-1-3p,ACTL8,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,0.839,Up-regulated,0.016733648,22.842,Up-regulated,1.19e-05,Inconsistent_Both_Up
hsa-miR-450a-1-3p,BCL6,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,0.839,Up-regulated,0.016733648,-0.869,Down-regulated,0.04241884,Consistent_Inhibition
hsa-miR-450a-1-3p,SLC49A4,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,0.839,Up-regulated,0.016733648,-0.868,Down-regulated,0.024762509,Consistent_Inhibition
hsa-miR-450a-1-3p,SGCZ,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,0.839,Up-regulated,0.016733648,24.197,Up-regulated,1.83e-06,Inconsistent_Both_Up
hsa-miR-450a-1-3p,ALDH1A1,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,0.839,Up-regulated,0.016733648,1.12,Up-regulated,0.003625827,Inconsistent_Both_Up
hsa-miR-450a-1-3p,KCNK10,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,0.839,Up-regulated,0.016733648,19.728,Up-regulated,0.000288762,Inconsistent_Both_Up
hsa-miR-450a-1-3p,GREM2,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,0.839,Up-regulated,0.016733648,-1.109,Down-regulated,0.04241884,Consistent_Inhibition
hsa-miR-450a-1-3p,SSTR2,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,0.839,Up-regulated,0.016733648,1.634,Up-regulated,0.02918502,Inconsistent_Both_Up
hsa-miR-320c,SOCS6,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,0.798,Up-regulated,0.016776762,-0.478,Down-regulated,0.048990101,Consistent_Inhibition
hsa-miR-320c,A1CF,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,0.798,Up-regulated,0.016776762,18.84,Up-regulated,0.000776162,Inconsistent_Both_Up
hsa-miR-320c,SERPINA1,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,0.798,Up-regulated,0.016776762,1.042,Up-regulated,0.045545931,Inconsistent_Both_Up
hsa-miR-320c,RABGAP1L,Yes,Down-regulated,Expression inhibition ↑↓,miRWalk,Predicted,0.798,Up-regulated,0.016776762,-0.665,Down-regulated,0.022027507,Consistent_Inhibition
hsa-miR-320c,ZBTB16,Yes,Up-regulated,Inconsistent pattern ↑↑,miRWalk,Predicted,0.798,Up-regulated,0.016776762,1.28,Up-regulated,0.017810079,Inconsistent_Both_Up
