miRNA,Target_Gene,Is_DEG,DEG_Expression_Direction,Predicted_Regulatory_Relationship
hsa-miR-519d-5p,CCDC9B,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-519d-5p,ACER2,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-519d-5p,FKBP5,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-519d-5p,HIGD2B,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-519d-5p,F11,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-519d-5p,IL32,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-519d-5p,VSIG10L2,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-519d-5p,RAI14,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-519d-5p,CEP85,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-519d-5p,PRODH2,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-519d-5p,SPATC1L,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-519d-5p,BAAT,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-519d-5p,INPP5F,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-519d-5p,COPZ2,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-519d-5p,AVPR1B,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-1299,LIMCH1,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-1299,ZBTB16,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-1299,NTRK2,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-1299,RIPOR2,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-1299,INPP5F,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-1299,SLC6A2,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-1299,RNF39,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-1299,TMEM119,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-1299,KCNIP1,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-1299,RAI14,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-1299,ARRDC2,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-1299,KLF9,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-1299,EPDR1,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-1299,AKR1C3,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-1299,KCNK10,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-1299,NECAB1,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-1299,CEP85,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-1299,FBXO17,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-1299,SHISA9,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-1299,PRSS23,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-1299,PNMA2,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-1299,ACTG2,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-1299,SNTA1,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-1299,CCN4,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-1299,C10orf99,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-1299,FAM167A,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-1299,SLC38A1,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-1299,SLC49A4,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-1299,ZBTB8A,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-1299,SGCZ,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-1299,AGXT,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-1299,LEP,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-1299,PLA2G5,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-1299,ACER2,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-1299,TRNP1,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-1299,ST6GALNAC1,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-1299,RABGAP1L,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-1299,C4orf50,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-1299,C2CD3,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-1299,GREM2,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-1299,FKBP5,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-1299,AFF1,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-1299,NDN,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-1299,SSTR2,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-1299,JDP2,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-1299,SMOX,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-1299,TPBG,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-1299,A1CF,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-1299,ECM1,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-1299,HYAL2,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-1299,SPATC1L,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-1299,SLC28A2,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-1299,IL32,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-1299,MGST1,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-4784,ATOH8,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,LIMCH1,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-4784,RABGAP1L,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-4784,ZBTB16,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,F11,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,LHX3,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-4784,NTRK2,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,RUNDC3A,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,RIPOR2,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-4784,ZBTB47,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,TTLL10,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,HYAL1,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,OASL,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,A1CF,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,NNMT,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,SNCA,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,LYPD3,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-4784,PDLIM3,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,ZNF507,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-4784,EPDR1,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,CCN4,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,MGST1,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,ANKRD62,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-4784,UGT1A9,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,GREM2,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-4784,CEP85,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-4784,SLC38A1,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-4784,FKBP5,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,KIAA0319,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-4784,SLC6A2,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-4784,SIX3,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,TFPI,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-4784,MYLIP,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-4784,DMTN,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,TSC22D3,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,PRLHR,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,C10orf99,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-4784,CCDC9B,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,FAM167A,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-4784,EBF4,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,BCL6,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-4784,JDP2,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,GUCA2A,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-4784,KCNE4,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,ADAMTS15,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,SGCZ,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,ZBTB8A,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,GPAT2,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,C6,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,CYP19A1,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-4784,CYP2C19,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,ACER2,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-4784,ARRDC2,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,KCNIP1,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,TMEM119,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,TREML2,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-4784,PRR23C,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,PARP3,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,SHISA9,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,TSPAN5,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,RAI14,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-4784,GYPC,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,CYP3A4,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,USP27X,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-4784,GATA6,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,SCML2,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-4784,C8A,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,CLDN4,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-4784,SERPINA7,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,ALDH1A1,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,AVPR1B,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-4784,PLA2G5,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,TRNP1,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,GAGE1,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,SPATC1L,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-4784,HIGD2B,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-4784,KLF9,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,SELENBP1,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,BEX1,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-4784,KCNK10,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,FXYD7,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,SAA1,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,PNMA2,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,SERPINI1,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-4784,SERPINA1,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,RUNDC3B,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-4784,CGB8,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-4784,CMC4,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-4784,METTL21C,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-4784,COPZ2,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,CGB7,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-4784,BAAT,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,STK39,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-4784,NLRP4,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6859-5p,LIMCH1,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6859-5p,RABGAP1L,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6859-5p,NTRK2,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6859-5p,ZBTB47,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6859-5p,A1CF,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6859-5p,VSIG10L2,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6859-5p,KIAA0319,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6859-5p,NSMF,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6859-5p,RAI14,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6859-5p,CCN4,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6859-5p,INPP5F,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6859-5p,SELENBP1,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6859-5p,CEP85,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6859-5p,MICA,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6859-5p,FXYD7,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6859-5p,GREM2,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6859-5p,SHISA9,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6859-5p,FKBP5,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6859-5p,F3,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6859-5p,PARP3,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6859-5p,NNMT,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6859-5p,FTCD,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6859-5p,PRSS23,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6859-5p,IL12B,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6859-5p,AKR1C3,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6859-5p,C8A,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6859-5p,FAM167A,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6859-5p,DMTN,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6859-5p,SERPINA1,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6859-5p,PRR23C,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6859-5p,ATOH8,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6859-5p,SMIM3,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6859-5p,KCNK10,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6859-5p,ANKS4B,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6859-5p,ZBTB8A,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6859-5p,PRAMEF1,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6859-5p,IL2RA,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6859-5p,TFPI,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6859-5p,CYP19A1,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6859-5p,SLC2A2,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6859-5p,AVPR1B,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6859-5p,CYP2C19,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6859-5p,CMC4,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6859-5p,GAGE1,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6859-5p,PNMA2,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6859-5p,STK39,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6859-5p,EBF4,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6859-5p,KCNIP1,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6859-5p,ZBTB16,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6859-5p,COPZ2,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6859-5p,SOCS6,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6859-5p,TSPAN5,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6859-5p,TAB3,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6859-5p,TTLL10,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6859-5p,RNF39,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6859-5p,TTBK2,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6859-5p,ZNF507,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6859-5p,ACTG2,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6859-5p,GATA6,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6859-5p,CCN2,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6859-5p,SLC28A2,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6859-5p,SGCZ,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6859-5p,CLDN4,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6859-5p,ACER2,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6859-5p,SLC6A2,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6859-5p,RIPOR2,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6859-5p,SPATC1L,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6859-5p,SAA1,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6859-5p,SERPINI1,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6859-5p,LURAP1L,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6859-5p,MYLIP,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6859-5p,CGB8,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6859-5p,SNCA,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6859-5p,LHX8,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6859-5p,ANKRD62,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-6859-5p,HYAL2,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-6859-5p,NLRP4,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-1-3p,TAB3,Yes,Down-regulated,Expression inhibition ↑↓
hsa-miR-1-3p,ZBTB8A,Yes,Up-regulated,Inconsistent pattern ↑↑
hsa-miR-3940-5p,ZBTB16,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,LHX3,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-3940-5p,RABGAP1L,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-3940-5p,NTRK2,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,INPP5F,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-3940-5p,PIMREG,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,SOCS6,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-3940-5p,PYDC1,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,SMOX,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,A1CF,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,SNCA,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,DMTN,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,ANKRD1,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,ARRDC2,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,LUZP4,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,ECM1,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-3940-5p,CEP85,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-3940-5p,KCNK10,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,GREM2,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-3940-5p,RUNDC3A,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,RAI14,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-3940-5p,FKBP5,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,GNE,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-3940-5p,SCML2,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-3940-5p,NNMT,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,TFPI,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-3940-5p,HYAL2,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,CCN4,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,CCDC9B,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,ARID5A,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,FAM167A,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-3940-5p,BAAT,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,GUCA2A,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-3940-5p,KCNE4,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,CLDN4,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-3940-5p,IL2RA,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,SERPINA1,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,HBA1,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,CYP19A1,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-3940-5p,TAB3,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-3940-5p,TREML2,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-3940-5p,F11,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,IFI27,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,CCDC171,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-3940-5p,VSIG10L2,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,PDLIM3,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,KCNIP1,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,COPZ2,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,SIX4,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-3940-5p,SLC38A1,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-3940-5p,HES6,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,MICA,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,AGPAT5,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-3940-5p,FXYD7,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,SHISA9,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,BNIPL,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-3940-5p,PRSS23,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,LMOD1,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,SLC28A2,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,TSC22D3,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,C8A,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,JDP2,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,ATOH8,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,ANKS4B,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,ZBTB8A,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,LEP,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-3940-5p,SERPINA7,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,MAT1A,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,ORM1,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,ORM2,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,AVPR1B,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-3940-5p,CYP2C19,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,PLA2G5,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,ACER2,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-3940-5p,HIGD2B,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-3940-5p,FBLL1,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,APOA1,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,IL32,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,TPBG,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-3940-5p,CGB7,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-3940-5p,ZNF507,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-3940-5p,ACTG2,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,KIAA0319,Yes,Down-regulated,Inconsistent pattern ↓↓
hsa-miR-3940-5p,TENT5D,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,F3,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,GEM,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,PARP3,Yes,Up-regulated,Expression derepression ↓↑
hsa-miR-3940-5p,MYLIP,Yes,Down-regulated,Inconsistent pattern ↓↓
